epoch,train_total_loss,train_box_loss,train_obj_loss,train_cls_loss,train_positives,val_total_loss,val_box_loss,val_obj_loss,val_cls_loss,val_positives,val_mean_iou,val_cls_acc,lr,epoch_time_sec
1,11.4431,0.5544,6.6681,2.0029,247248,3.57,0.4349,0.3708,1.0247,48549,0.5718,56.62,0.001,694.26
2,2.9179,0.3887,0.3,0.6745,247248,2.8169,0.3675,0.3334,0.6461,48549,0.6381,67.07,0.000505,644.93
