epoch,train_total_loss,train_box_loss,train_obj_loss,train_cls_loss,train_positives,val_total_loss,val_box_loss,val_obj_loss,val_cls_loss,val_positives,val_mean_iou,val_cls_acc,val_recall,val_precision,val_map50,val_map50_95,lr,images_per_sec,epoch_time_sec,vram_allocated_gb,peak_vram_gb
32,4.6484,0.1465,0.1316,0.1238,247248,6.2448,0.231,0.2639,0.8156,48549,0.7529,73.22,3.8775,0.6994,2.7119,1.7271,0.000323,11.31,732.0,0.07,6.74
33,4.6109,0.1432,0.1291,0.1116,247248,6.3017,0.2319,0.2656,0.842,48549,0.7523,73.42,3.8796,0.6998,2.7149,1.7309,0.000294,11.27,734.73,0.07,6.74
34,4.5794,0.1404,0.126,0.1052,247248,6.3434,0.2309,0.2675,0.8467,48549,0.7531,73.12,3.8675,0.6976,2.698,1.7298,0.000267,11.3,733.08,0.07,6.74
35,4.5464,0.1376,0.1238,0.0962,247248,6.441,0.2312,0.2716,0.8943,48549,0.7521,72.91,3.8583,0.6959,2.6851,1.712,0.00024,11.21,738.61,0.07,6.74
36,4.5206,0.1349,0.1213,0.0881,247248,6.4753,0.2325,0.2706,0.9329,48549,0.7513,73.21,3.8767,0.6993,2.7108,1.7235,0.000214,11.25,736.19,0.07,6.74
37,4.4852,0.1322,0.1192,0.0792,247248,6.4913,0.2326,0.2755,0.9552,48549,0.7513,72.98,3.8696,0.698,2.7009,1.7203,0.000189,11.26,735.57,0.07,6.74
38,4.4582,0.1297,0.1167,0.0711,247248,6.5788,0.2325,0.2824,0.996,48549,0.7515,73.24,3.874,0.6988,2.7071,1.7252,0.000166,11.23,737.35,0.07,6.74
39,4.4332,0.1273,0.1146,0.0661,247248,6.657,0.2333,0.2832,1.0424,48549,0.7505,72.89,3.8565,0.6956,2.6826,1.7075,0.000144,11.26,735.8,0.07,6.74
40,4.4202,0.126,0.1137,0.0611,247248,6.774,0.2344,0.2875,1.1179,48549,0.7494,72.96,3.8589,0.696,2.6859,1.7134,0.000124,11.26,735.26,0.07,6.74
41,4.3941,0.1235,0.1113,0.0556,247248,6.7377,0.2355,0.286,1.1364,48549,0.7486,72.53,3.8303,0.6909,2.6463,1.6884,0.000105,11.27,734.7,0.07,6.74
42,4.3743,0.1215,0.1097,0.0506,247248,6.9558,0.2347,0.2896,1.166,48549,0.749,72.82,3.847,0.6939,2.6694,1.7007,8.7e-05,11.27,735.02,0.07,6.7
43,4.3579,0.1203,0.1081,0.0486,247248,6.8794,0.2361,0.2897,1.1901,48549,0.7478,72.49,3.8318,0.6912,2.6484,1.6868,7.1e-05,10.93,757.77,0.07,6.74
44,4.3417,0.1184,0.1062,0.0456,247248,6.8715,0.2357,0.292,1.197,48549,0.748,72.74,3.8378,0.6922,2.6567,1.6908,5.7e-05,10.73,771.87,0.07,6.74
45,4.3265,0.1173,0.1059,0.0411,247248,6.9959,0.2352,0.2975,1.233,48549,0.7482,73.07,3.8591,0.6961,2.6862,1.7107,4.5e-05,10.7,774.02,0.07,6.74
46,4.3224,0.1165,0.1046,0.0417,247248,6.9889,0.235,0.299,1.2327,48549,0.7484,72.93,3.8507,0.6946,2.6746,1.7071,3.4e-05,10.65,777.3,0.07,6.74
47,4.3067,0.1151,0.1036,0.0382,247248,6.9643,0.2357,0.2982,1.2486,48549,0.7477,72.73,3.8406,0.6927,2.6605,1.6949,2.6e-05,10.66,776.79,0.07,6.74
48,4.297,0.1146,0.1032,0.0368,247248,7.0022,0.2365,0.2977,1.2605,48549,0.7471,72.64,3.8343,0.6916,2.6518,1.6862,1.9e-05,10.66,777.21,0.07,6.74
49,4.3144,0.1159,0.1048,0.0391,247248,7.0335,0.2367,0.2956,1.2719,48549,0.7469,72.52,3.828,0.6905,2.6432,1.6833,1.4e-05,10.67,776.15,0.07,6.74
50,4.3094,0.1155,0.1047,0.0379,247248,6.9335,0.2377,0.2943,1.2828,48549,0.7464,72.39,3.8219,0.6894,2.6347,1.6754,1.1e-05,10.63,779.41,0.07,6.74
