epoch,train_total_loss,train_box_loss,train_obj_loss,train_cls_loss,train_positives,val_total_loss,val_box_loss,val_obj_loss,val_cls_loss,val_positives,val_mean_iou,val_cls_acc,lr,epoch_time_sec
1,11.7394,0.5614,6.8316,2.1009,247248,3.3015,0.422,0.3971,0.7945,48549,0.5839,60.13,0.001,673.97
2,3.0738,0.402,0.3422,0.7214,247248,2.825,0.3623,0.3517,0.6617,48549,0.6431,66.17,0.000505,685.79
