epoch,train_total_loss,train_box_loss,train_obj_loss,train_cls_loss,train_positives,val_total_loss,val_box_loss,val_obj_loss,val_cls_loss,val_positives,val_mean_iou,val_cls_acc,lr,epoch_time_sec
1,10.0023,0.5679,5.7765,1.3863,292120,2.9982,0.432,0.3237,0.5144,57964,0.5744,61.53,0.001,817.34
2,2.7577,0.3992,0.2869,0.475,292120,2.5902,0.3663,0.3108,0.4479,57964,0.6399,66.93,0.000976,734.58
3,2.4657,0.3558,0.2639,0.4227,292120,2.3791,0.3385,0.2857,0.4011,57964,0.6672,67.85,0.000905,671.75
4,2.1897,0.3203,0.2401,0.3482,292120,2.2089,0.3133,0.2715,0.3706,57964,0.6918,71.26,0.000796,681.71
5,2.0818,0.3035,0.2298,0.3343,292120,2.1183,0.3013,0.2623,0.3493,57964,0.7038,72.23,0.000658,706.06
